characters: 950623
words: 9695
lines: 11237

garden  : 128 
eden  : 6 
some  : 205 
point  : 102 
something  : 339 
must  : 260 
have  : 950 
come  : 151 
from  : 815 
nothing  : 126 
sophie  : 1201 
amundsen  : 40 
home  : 141 
school  : 72 
walked  : 47 
first  : 217 
part  : 79 
with  : 864 
joanna  : 114 
they  : 766 
been  : 318 
discussing  : 5 
robots  : 3 
thought  : 273 
human  : 162 
brain  : 17 
like  : 362 
advanced  : 5 
computer  : 10 
certain  : 79 
agreed  : 25 
surely  : 29 
person  : 106 
more  : 393 
than  : 195 
piece  : 20 
hardware  : 2 
when  : 512 
supermarket  : 5 
went  : 154 
their  : 247 
separate  : 10 
ways  : 12 
lived  : 84 
outskirts  : 3 
sprawling  : 2 
suburb  : 1 
almost  : 72 
twice  : 7 
there  : 752 
were  : 585 
other  : 302 
houses  : 4 
beyond  : 20 
which  : 354 
made  : 148 
seem  : 15 
house  : 61 
world  : 408 
this  : 790 
where  : 146 
woods  : 63 
began  : 144 
turned  : 65 
corner  : 11 
into  : 378 
clover  : 15 
close  : 28 
road  : 17 
sharp  : 18 
bend  : 6 
known  : 36 
captain  : 10 
people  : 305 
seldom  : 3 
that  : 3188 
except  : 12 
weekend  : 2 
early  : 38 
gardens  : 1 
fruit  : 14 
trees  : 47 
encircled  : 3 
dense  : 10 
clusters  : 1 
daffodils  : 2 
birches  : 5 
already  : 74 
pale  : 7 
green  : 27 
leaf  : 7 
extraordinary  : 15 
everything  : 233 
burst  : 13 
forth  : 9 
time  : 377 
year  : 44 
what  : 824 
great  : 139 
mass  : 4 
vegetation  : 1 
welling  : 3 
dead  : 24 
earth  : 118 
soon  : 67 
warm  : 4 
last  : 94 
traces  : 8 
snow  : 5 
disappeared  : 17 
opened  : 52 
gate  : 25 
looked  : 113 
mailbox  : 42 
usually  : 24 
junk  : 4 
mail  : 10 
envelopes  : 12 
mother  : 214 
pile  : 10 
dump  : 1 
kitchen  : 31 
table  : 93 
before  : 267 
room  : 89 
start  : 40 
homework  : 10 
would  : 431 
letters  : 28 
bank  : 8 
father  : 152 
then  : 326 
normal  : 4 
tanker  : 1 
away  : 100 
most  : 153 
during  : 54 
weeks  : 14 
shuffle  : 2 
around  : 167 
making  : 16 
nice  : 11 
cozy  : 3 
could  : 524 
very  : 198 
distant  : 10 
only  : 435 
letter  : 75 
white  : 94 
envelope  : 77 
read  : 139 
stamp  : 8 
either  : 71 
closed  : 13 
behind  : 54 
contained  : 9 
slip  : 13 
paper  : 24 
bigger  : 31 
else  : 63 
three  : 80 
words  : 85 
written  : 76 
hand  : 91 
followed  : 21 
large  : 61 
question  : 118 
mark  : 6 
again  : 196 
definitely  : 15 
dropped  : 13 
herself  : 77 
quickly  : 22 
always  : 112 
sherekan  : 10 
managed  : 20 
slink  : 1 
bushes  : 14 
jump  : 12 
onto  : 35 
front  : 51 
step  : 27 
through  : 168 
door  : 70 
whenever  : 6 
mood  : 3 
call  : 99 
menagerie  : 2 
collection  : 8 
animals  : 79 
certainly  : 55 
quite  : 115 
happy  : 42 
begun  : 33 
goldfish  : 6 
goldtop  : 1 
ridinghood  : 10 
black  : 36 
jack  : 2 
next  : 77 
budgerigars  : 5 
called  : 193 
smitt  : 1 
smule  : 2 
govinda  : 6 
tortoise  : 8 
finally  : 52 
marmalade  : 1 
given  : 39 
make  : 99 
fact  : 86 
never  : 147 
work  : 87 
until  : 65 
late  : 29 
afternoon  : 15 
much  : 132 
sailing  : 7 
over  : 241 
slung  : 3 
schoolbag  : 6 
floor  : 30 
bowl  : 8 
food  : 38 
down  : 253 
stool  : 3 
mysterious  : 33 
idea  : 157 
course  : 115 
really  : 152 
figured  : 2 
different  : 109 
name  : 60 
anne  : 9 
knutsen  : 1 
instance  : 29 
someone  : 55 
suddenly  : 96 
remembered  : 18 
originally  : 6 
wanted  : 54 
lillemor  : 2 
tried  : 78 
imagine  : 53 
shaking  : 3 
hands  : 29 
introducing  : 3 
seemed  : 30 
wrong  : 68 
kept  : 19 
jumped  : 19 
bathroom  : 7 
strange  : 31 
stood  : 75 
mirror  : 48 
stared  : 8 
eyes  : 65 
said  : 504 
girl  : 81 
react  : 7 
twitch  : 1 
whatever  : 23 
exactly  : 87 
same  : 275 
beat  : 3 
reflection  : 31 
lightning  : 14 
movement  : 27 
just  : 357 
fast  : 11 
asked  : 73 
received  : 15 
response  : 3 
felt  : 94 
momentary  : 2 
confusion  : 2 
whether  : 84 
pressed  : 5 
index  : 3 
finger  : 7 
nose  : 10 
answer  : 51 
sentence  : 8 
often  : 45 
dissatisfied  : 2 
appearance  : 5 
frequently  : 10 
told  : 41 
beautiful  : 16 
almond  : 4 
shaped  : 2 
probably  : 91 
because  : 302 
small  : 48 
mouth  : 18 
ears  : 7 
worst  : 13 
straight  : 20 
hair  : 30 
impossible  : 20 
anything  : 83 
sometimes  : 35 
stroke  : 2 
flaxen  : 1 
after  : 219 
music  : 13 
claude  : 1 
debussy  : 1 
right  : 215 
condemned  : 7 
living  : 91 
dark  : 32 
neither  : 59 
mousse  : 1 
styling  : 1 
slightest  : 6 
effect  : 22 
ugly  : 5 
wondered  : 12 
malformed  : 1 
birth  : 12 
about  : 567 
difficult  : 20 
labor  : 8 
determined  : 15 
wasn  : 64 
didn  : 106 
know  : 248 
unreasonable  : 9 
hadn  : 15 
allowed  : 10 
look  : 73 
looks  : 20 
dumped  : 1 
choose  : 19 
friends  : 14 
chosen  : 7 
even  : 199 
being  : 159 
think  : 274 
upstairs  : 12 
biology  : 3 
apologetically  : 1 
once  : 125 
hall  : 8 
rather  : 44 
kitty  : 6 
chased  : 2 
doorstep  : 2 
outside  : 43 
gravel  : 8 
path  : 46 
strangest  : 3 
feeling  : 31 
came  : 150 
doll  : 11 
brought  : 35 
life  : 297 
wave  : 3 
magic  : 14 
wand  : 1 
wandering  : 5 
wonderful  : 13 
adventure  : 4 
sprang  : 2 
lightly  : 1 
across  : 56 
slid  : 3 
clump  : 4 
currant  : 5 
live  : 86 
vibrant  : 1 
energy  : 5 
whiskers  : 1 
twitching  : 1 
tail  : 7 
sleek  : 1 
body  : 79 
here  : 171 
hardly  : 31 
aware  : 18 
started  : 55 
alive  : 32 
realize  : 19 
forever  : 6 
shall  : 52 
gone  : 37 
